'mysql.infoschema'@'localhost',def,SELECT,NO
'mysql.session'@'localhost',def,SHUTDOWN,NO
'mysql.session'@'localhost',def,SUPER,NO
'mysql.session'@'localhost',def,BACKUP_ADMIN,NO
'mysql.session'@'localhost',def,CLONE_ADMIN,NO
'mysql.session'@'localhost',def,PERSIST_RO_VARIABLES_ADMIN,NO
'mysql.session'@'localhost',def,SESSION_VARIABLES_ADMIN,NO
'mysql.session'@'localhost',def,SYSTEM_USER,NO
'mysql.session'@'localhost',def,SYSTEM_VARIABLES_ADMIN,NO
'mysql.sys'@'localhost',def,USAGE,NO
'root'@'localhost',def,SELECT,YES
'root'@'localhost',def,INSERT,YES
'root'@'localhost',def,UPDATE,YES
'root'@'localhost',def,DELETE,YES
'root'@'localhost',def,CREATE,YES
'root'@'localhost',def,DROP,YES
'root'@'localhost',def,RELOAD,YES
'root'@'localhost',def,SHUTDOWN,YES
'root'@'localhost',def,PROCESS,YES
'root'@'localhost',def,FILE,YES
'root'@'localhost',def,REFERENCES,YES
'root'@'localhost',def,INDEX,YES
'root'@'localhost',def,ALTER,YES
'root'@'localhost',def,SHOW DATABASES,YES
'root'@'localhost',def,SUPER,YES
'root'@'localhost',def,CREATE TEMPORARY TABLES,YES
'root'@'localhost',def,LOCK TABLES,YES
'root'@'localhost',def,EXECUTE,YES
'root'@'localhost',def,REPLICATION SLAVE,YES
'root'@'localhost',def,REPLICATION CLIENT,YES
'root'@'localhost',def,CREATE VIEW,YES
'root'@'localhost',def,SHOW VIEW,YES
'root'@'localhost',def,CREATE ROUTINE,YES
'root'@'localhost',def,ALTER ROUTINE,YES
'root'@'localhost',def,CREATE USER,YES
'root'@'localhost',def,EVENT,YES
'root'@'localhost',def,TRIGGER,YES
'root'@'localhost',def,CREATE TABLESPACE,YES
'root'@'localhost',def,CREATE ROLE,YES
'root'@'localhost',def,DROP ROLE,YES
'root'@'localhost',def,APPLICATION_PASSWORD_ADMIN,YES
'root'@'localhost',def,AUDIT_ADMIN,YES
'root'@'localhost',def,BACKUP_ADMIN,YES
'root'@'localhost',def,BINLOG_ADMIN,YES
'root'@'localhost',def,BINLOG_ENCRYPTION_ADMIN,YES
'root'@'localhost',def,CLONE_ADMIN,YES
'root'@'localhost',def,CONNECTION_ADMIN,YES
'root'@'localhost',def,ENCRYPTION_KEY_ADMIN,YES
'root'@'localhost',def,GROUP_REPLICATION_ADMIN,YES
'root'@'localhost',def,INNODB_REDO_LOG_ARCHIVE,YES
'root'@'localhost',def,PERSIST_RO_VARIABLES_ADMIN,YES
'root'@'localhost',def,REPLICATION_SLAVE_ADMIN,YES
'root'@'localhost',def,RESOURCE_GROUP_ADMIN,YES
'root'@'localhost',def,RESOURCE_GROUP_USER,YES
'root'@'localhost',def,ROLE_ADMIN,YES
'root'@'localhost',def,SERVICE_CONNECTION_ADMIN,YES
'root'@'localhost',def,SESSION_VARIABLES_ADMIN,YES
'root'@'localhost',def,SET_USER_ID,YES
'root'@'localhost',def,SYSTEM_USER,YES
'root'@'localhost',def,SYSTEM_VARIABLES_ADMIN,YES
'root'@'localhost',def,TABLE_ENCRYPTION_ADMIN,YES
'root'@'localhost',def,XA_RECOVER_ADMIN,YES
'SHomeAdmin'@'%',def,USAGE,NO
