binlog,1.0,ACTIVE,STORAGE ENGINE,80017.0,,,MySQL AB,This is a pseudo storage engine to represent the binlog in a transaction,GPL,FORCE
mysql_native_password,1.1,ACTIVE,AUTHENTICATION,2.0,,,"R.J.Silk, Sergei Golubchik",Native MySQL authentication,GPL,FORCE
sha256_password,1.1,ACTIVE,AUTHENTICATION,2.0,,,Oracle,SHA256 password authentication,GPL,FORCE
caching_sha2_password,1.0,ACTIVE,AUTHENTICATION,2.0,,,Oracle,Caching sha2 authentication,GPL,FORCE
sha2_cache_cleaner,1.0,ACTIVE,AUDIT,4.1,,,Oracle Inc,Cache cleaner for Caching sha2 authentication,GPL,FORCE
CSV,1.0,ACTIVE,STORAGE ENGINE,80017.0,,,"Brian Aker, MySQL AB",CSV storage engine,GPL,FORCE
MEMORY,1.0,ACTIVE,STORAGE ENGINE,80017.0,,,MySQL AB,"Hash based, stored in memory, useful for temporary tables",GPL,FORCE
InnoDB,8.0,ACTIVE,STORAGE ENGINE,80017.0,,,Oracle Corporation,"Supports transactions, row-level locking, and foreign keys",GPL,FORCE
INNODB_TRX,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB transactions,GPL,FORCE
INNODB_CMP,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,Statistics for the InnoDB compression,GPL,FORCE
INNODB_CMP_RESET,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,Statistics for the InnoDB compression; reset cumulated counts,GPL,FORCE
INNODB_CMPMEM,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,Statistics for the InnoDB compressed buffer pool,GPL,FORCE
INNODB_CMPMEM_RESET,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,Statistics for the InnoDB compressed buffer pool; reset cumulated counts,GPL,FORCE
INNODB_CMP_PER_INDEX,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,Statistics for the InnoDB compression (per index),GPL,FORCE
INNODB_CMP_PER_INDEX_RESET,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,Statistics for the InnoDB compression (per index); reset cumulated counts,GPL,FORCE
INNODB_BUFFER_PAGE,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB Buffer Page Information,GPL,FORCE
INNODB_BUFFER_PAGE_LRU,8.1,ACTIVE,INFORMATION SCHEMA,80017.0,,,Oracle Corporation,InnoDB Buffer Page in LRU,GPL,FORCE
